Date,New Cases,7-Day Moving Avg
Nov 12 2020,1652,1370
Nov 11 2020,1746,1324
Nov 10 2020,1160,1189
Nov 9 2020,1174,1156
Nov 8 2020,1451,1094
Nov 7 2020,1084,976
Nov 6 2020,1327,904
Nov 5 2020,1330,849
Nov 4 2020,799,847
Nov 3 2020,930,869
Nov 2 2020,737,833
Nov 1 2020,629,832
Oct 31 2020,577,807
Oct 30 2020,946,833
Oct 29 2020,1311,996
Oct 28 2020,954,881
Oct 27 2020,681,830
Oct 26 2020,729,852
Oct 25 2020,457,801
Oct 24 2020,753,919
Oct 23 2020,2091,811
Oct 22 2020,504,603
Oct 21 2020,597,616
Oct 20 2020,834,630
Oct 19 2020,377,589
Oct 18 2020,1279,599
Oct 17 2020,0,468
Oct 16 2020,634,539
Oct 15 2020,591,552
Oct 14 2020,700,566
Oct 13 2020,544,532
Oct 12 2020,451,548
Oct 11 2020,356,555
Oct 10 2020,502,567
Oct 9 2020,723,574
Oct 8 2020,692,566
Oct 7 2020,460,554
Oct 6 2020,652,589
Oct 5 2020,502,572
Oct 4 2020,444,555
Oct 3 2020,548,545
Oct 2 2020,670,516
Oct 1 2020,607,483
Sep 30 2020,705,458
Sep 29 2020,529,414
Sep 28 2020,388,371
Sep 27 2020,369,357
Sep 26 2020,348,350
Sep 25 2020,438,328
Sep 24 2020,430,356
Sep 23 2020,397,344
Sep 22 2020,227,330
Sep 21 2020,294,334
Sep 20 2020,322,341
Sep 19 2020,193,356
Sep 18 2020,635,328
Sep 17 2020,346,347
Sep 16 2020,294,327
Sep 15 2020,258,353
Sep 14 2020,344,345
Sep 13 2020,423,326
Sep 12 2020,0,308
Sep 11 2020,770,308
Sep 10 2020,201,241
Sep 9 2020,481,244
Sep 8 2020,202,222
Sep 7 2020,211,229
Sep 6 2020,294,241
Sep 5 2020,0,230
Sep 4 2020,303,264
Sep 3 2020,221,258
Sep 2 2020,325,270
Sep 1 2020,250,257
Aug 31 2020,295,248
Aug 30 2020,218,243
Aug 29 2020,242,238
Aug 28 2020,255,245
Aug 27 2020,311,240
Aug 26 2020,232,224
Aug 25 2020,187,234
Aug 24 2020,256,244
Aug 23 2020,184,234
Aug 22 2020,295,240
Aug 21 2020,217,301
Aug 20 2020,201,270
Aug 19 2020,303,288
Aug 18 2020,256,305
Aug 17 2020,188,322
Aug 16 2020,223,329
Aug 15 2020,719,332
Aug 14 2020,0,275
Aug 13 2020,327,310
